ActivoA,ActivoB,Algoritmo,Complejidad,Valor
GOOGL,NFLX,Similitud por Coseno,O(n),0,363796
GOOGL,INTC,Distancia Euclidiana,O(n),1,112587
GOOGL,INTC,Correlacion de Pearson,O(n),0,326830
GOOGL,INTC,Dynamic Time Warping (DTW),O(n*m),18,823610
GOOGL,INTC,Similitud por Coseno,O(n),0,327821
GOOGL,CSCO,Distancia Euclidiana,O(n),0,693614
GOOGL,CSCO,Correlacion de Pearson,O(n),0,383147
GOOGL,CSCO,Dynamic Time Warping (DTW),O(n*m),12,394736
GOOGL,CSCO,Similitud por Coseno,O(n),0,384495
AMZN,NVDA,Distancia Euclidiana,O(n),0,983132
AMZN,NVDA,Correlacion de Pearson,O(n),0,543411
AMZN,NVDA,Dynamic Time Warping (DTW),O(n*m),19,630099
AMZN,NVDA,Similitud por Coseno,O(n),0,543781
AMZN,META,Distancia Euclidiana,O(n),0,816468
AMZN,META,Correlacion de Pearson,O(n),0,593083
AMZN,META,Dynamic Time Warping (DTW),O(n*m),15,397605
AMZN,META,Similitud por Coseno,O(n),0,593474
AMZN,TSLA,Distancia Euclidiana,O(n),1,199105
AMZN,TSLA,Correlacion de Pearson,O(n),0,440412
AMZN,TSLA,Dynamic Time Warping (DTW),O(n*m),23,320179
AMZN,TSLA,Similitud por Coseno,O(n),0,440913
AMZN,JPM,Distancia Euclidiana,O(n),0,782614
AMZN,JPM,Correlacion de Pearson,O(n),0,359147
AMZN,JPM,Dynamic Time Warping (DTW),O(n*m),13,927987
AMZN,JPM,Similitud por Coseno,O(n),0,359913
AMZN,JNJ,Distancia Euclidiana,O(n),0,873199
AMZN,JNJ,Correlacion de Pearson,O(n),0,004197
AMZN,JNJ,Dynamic Time Warping (DTW),O(n*m),14,498563
AMZN,JNJ,Similitud por Coseno,O(n),0,005000
AMZN,V,Distancia Euclidiana,O(n),0,749745
AMZN,V,Correlacion de Pearson,O(n),0,399689
AMZN,V,Dynamic Time Warping (DTW),O(n*m),13,626603
AMZN,V,Similitud por Coseno,O(n),0,400161
AMZN,PG,Distancia Euclidiana,O(n),0,854646
AMZN,PG,Correlacion de Pearson,O(n),0,080818
AMZN,PG,Dynamic Time Warping (DTW),O(n*m),14,141463
AMZN,PG,Similitud por Coseno,O(n),0,081094
AMZN,UNH,Distancia Euclidiana,O(n),1,015602
AMZN,UNH,Correlacion de Pearson,O(n),0,084685
AMZN,UNH,Dynamic Time Warping (DTW),O(n*m),15,522013
AMZN,UNH,Similitud por Coseno,O(n),0,084826
AMZN,HD,Distancia Euclidiana,O(n),0,756889
AMZN,HD,Correlacion de Pearson,O(n),0,401751
AMZN,HD,Dynamic Time Warping (DTW),O(n*m),13,837284
AMZN,HD,Similitud por Coseno,O(n),0,401704
AMZN,MA,Distancia Euclidiana,O(n),0,738086
AMZN,MA,Correlacion de Pearson,O(n),0,433075
AMZN,MA,Dynamic Time Warping (DTW),O(n*m),13,663775
AMZN,MA,Similitud por Coseno,O(n),0,433470
AMZN,DIS,Distancia Euclidiana,O(n),0,768627
AMZN,DIS,Correlacion de Pearson,O(n),0,444960
AMZN,DIS,Dynamic Time Warping (DTW),O(n*m),13,386925
AMZN,DIS,Similitud por Coseno,O(n),0,444236
AMZN,PYPL,Distancia Euclidiana,O(n),0,889235
AMZN,PYPL,Correlacion de Pearson,O(n),0,482941
AMZN,PYPL,Dynamic Time Warping (DTW),O(n*m),15,244108
AMZN,PYPL,Similitud por Coseno,O(n),0,481442
